firstname,lastname,guild,race,gender,face,skin,profession,alive,level,hp,maxhp,bp,maxbp,mp,maxmp,ep,maxep,strength,constitution,intelligence,dexterity,head,chest,arms,hands,legs,feet,cloak,righthand,lefthand,zone,x,y,z,direction
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,1,30,30,20,20,30,30,20,20,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,Runt,,goblin,0,0,0,,1,2,35,35,23,23,35,35,23,23,20,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,3,43,43,27,27,32,32,21,21,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,,,goblin,0,0,0,,1,4,49,49,33,33,36,36,24,24,25,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,25,0,0,0
Goblin,Warrior,,goblin,0,0,0,,1,4,57,57,38,38,33,33,22,22,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,5,65,65,43,43,35,35,23,23,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,6,73,73,49,49,37,37,25,25,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,4,57,57,38,38,33,33,22,22,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,5,65,65,43,43,35,35,23,23,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,6,73,73,49,49,37,37,25,25,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,4,57,57,38,38,33,33,22,22,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,5,65,65,43,43,35,35,23,23,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
Goblin,Warrior,,goblin,0,0,0,,1,6,73,73,49,49,37,37,25,25,30,25,25,25,0,0,0,0,0,0,0,0,0,Iskirrian_Plains,0,25,0,0
